covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
MonthlyCharges,0.0028917101484628614,1.0028958951752434,0.0011365024155047037,0.0006642063457308663,0.0051192139511948564,1.0006644269796119,1.0051323395148988,0.0,2.5443941948673254,0.010946746986425945,6.5133539778296194
TotalCharges,-0.00037529398926768184,0.9996247764247126,1.331838086101024e-05,-0.0004013975360876495,-0.0003491904424477142,0.9995986830131255,0.9996508705174391,0.0,-28.178649731091607,1.068274208960154e-174,577.9202064990211
Contract_One year,-0.6659696043340699,0.5137751275298028,0.05828674159649862,-0.7802095186393999,-0.55172969002874,0.45830997676230684,0.5759527286161723,0.0,-11.425747710249013,3.1096745814910307e-30,98.02107923225634
Contract_Two year,-1.05437402787361,0.34841045429260015,0.0666141365660945,-1.184935336404388,-0.9238127193428322,0.3057659507852572,0.39700249275181543,0.0,-15.828082179335327,1.9920074587692576e-56,185.0337502643238
PaymentMethod_Credit card (automatic),-0.19409974963509896,0.8235757487907372,0.058533473165730494,-0.3088232489299724,-0.0793762503402255,0.7343105487318838,0.9236923195064713,0.0,-3.3160470263831576,0.0009130046397333048,10.097090187792064
PaymentMethod_Electronic check,0.3842570245590003,1.468522839614877,0.047195168298580385,0.29175619444947626,0.47675785466852433,1.3387765766865454,1.6108433386308554,0.0,8.141872111314383,3.8921224854459054e-16,51.19029240562121
PaymentMethod_Mailed check,0.23385940647531922,1.2634668444630288,0.05828752648229869,0.11961795382208916,0.34810085912854927,1.127066177990461,1.4163750968941542,0.0,4.012168993761295,6.016340476595576e-05,14.020754260147887
InternetService_Fiber optic,0.4723783816630376,1.603804119000318,0.05287940673118659,0.36873664894606695,0.5760201143800082,1.4459067724583738,1.7789443283048438,0.0,8.933125593945892,4.141390833844075e-19,61.066518442837044
InternetService_No,-0.22412576492557418,0.7992146148820263,0.08599647700118865,-0.39267576264523096,-0.055575767205917365,0.6752476526083184,0.9459403496979395,0.0,-2.6062203097282266,0.00915475568073025,6.77126290032186
OnlineSecurity_No internet service,-0.22412576492557418,0.7992146148820263,0.08599647700118866,-0.392675762645231,-0.05557576720591734,0.6752476526083184,0.9459403496979395,0.0,-2.606220309728226,0.009154755680730273,6.771262900321856
OnlineSecurity_Yes,-0.4251580903125812,0.6536664386294154,0.05028828355909228,-0.5237213149327398,-0.32659486569242263,0.5923122611908923,0.7213759379746458,0.0,-8.454416421132976,2.804866201065108e-17,54.984845660669556
TechSupport_No internet service,-0.22412576492557418,0.7992146148820263,0.08599647700118866,-0.392675762645231,-0.05557576720591734,0.6752476526083184,0.9459403496979395,0.0,-2.606220309728226,0.009154755680730273,6.771262900321856
TechSupport_Yes,-0.33562887903110616,0.7148883666543668,0.05036497159937064,-0.4343424094482553,-0.23691534861395702,0.6476904421850841,0.7890580800506954,0.0,-6.663934642927511,2.6659205654279884e-11,35.12657524966959
StreamingTV_No internet service,-0.22412576492557418,0.7992146148820263,0.08599647700118865,-0.39267576264523096,-0.055575767205917365,0.6752476526083184,0.9459403496979395,0.0,-2.6062203097282266,0.00915475568073025,6.77126290032186
StreamingTV_Yes,0.03525997937509403,1.035888983565778,0.04474468849679855,-0.05243799857809479,0.12295795732828285,0.948913153196707,1.1308368765444832,0.0,0.7880260330255032,0.4306814785463726,1.2153068130625344
StreamingMovies_No internet service,-0.22412576492557418,0.7992146148820263,0.08599647700118866,-0.392675762645231,-0.05557576720591734,0.6752476526083184,0.9459403496979395,0.0,-2.606220309728226,0.009154755680730273,6.771262900321856
StreamingMovies_Yes,0.009196911372071832,1.0092393329107767,0.04478293825197585,-0.07857603472368196,0.09696985746782563,0.9244317683452173,1.1018271612598018,0.0,0.20536641254587754,0.8372858598860269,0.256207833842678
gender_Male,-0.03434109210058199,0.9662418709535459,0.03946409971648593,-0.11168930622719177,0.043007122026027786,0.8943220746395703,1.0439453298299473,0.0,-0.8701856205333925,0.38419897284425386,1.380074432923178
Partner_Yes,-0.31020895071428856,0.7332937179690724,0.0430941408043599,-0.3946719146355319,-0.2257459867930452,0.6739011000715068,0.79792075833657,0.0,-7.198402031556555,6.092229402837926e-13,40.57809496602018
Dependents_Yes,-0.1537899228641447,0.8574521331803423,0.05116050525190281,-0.2540626705887465,-0.05351717513954289,0.7756431905078287,0.9478896607268013,0.0,-3.0060282264007703,0.0026468442655234957,8.56151097232465
PhoneService_Yes,0.11073484944355629,1.1170986682487896,0.09949517311750652,-0.08427210650233428,0.30574180538944684,0.9191811069070456,1.3576317280957964,0.0,1.1129670513038397,0.26572258061464726,1.9120072642867618
MultipleLines_No phone service,-0.11073484944355656,0.8951760738983258,0.09949517311750652,-0.3057418053894471,0.08427210650233401,0.7365767750600466,1.0879248849716916,0.0,-1.1129670513038423,0.26572258061464615,1.9120072642867678
MultipleLines_Yes,-0.15214878171390625,0.8588604884992995,0.04337777161388343,-0.23716765180672167,-0.06712991162109083,0.7888590232902059,0.9350737165034512,0.0,-3.5075287653829066,0.00045228945236350644,11.110466027622344
OnlineBackup_No internet service,-0.22412576492557418,0.7992146148820263,0.08599647700118865,-0.39267576264523096,-0.055575767205917365,0.6752476526083184,0.9459403496979395,0.0,-2.6062203097282266,0.00915475568073025,6.77126290032186
OnlineBackup_Yes,-0.3127638130447197,0.7314226446570107,0.044758148263556494,-0.4004881716559944,-0.22503945443344497,0.6699928946482342,0.7984847143758671,0.0,-6.987863108255127,2.7910450915109434e-12,38.382331706192154
DeviceProtection_No internet service,-0.22412576492557418,0.7992146148820263,0.08599647700118865,-0.39267576264523096,-0.055575767205917365,0.6752476526083184,0.9459403496979395,0.0,-2.6062203097282266,0.00915475568073025,6.77126290032186
DeviceProtection_Yes,-0.18303668672094023,0.8327376047645645,0.04509914047982436,-0.27142937779510845,-0.09464399564677203,0.7622891161052711,0.9096967328250023,0.0,-4.058540468256239,4.93803770237752e-05,14.305702622803134
PaperlessBilling_Yes,0.18360815607543607,1.2015449127664928,0.04492878957694889,0.09554934663563767,0.27166696551523445,1.1002631149773776,1.3121499373581407,0.0,4.0866481782460005,4.376500087687871e-05,14.479862875061931
SeniorCitizen_Yes,0.0467159939997346,1.0478243784065158,0.049094965249205265,-0.04950836971095324,0.14294035771042243,0.9516971926727101,1.1536609926310697,0.0,0.9515434782895752,0.3413285583599577,1.5507669676447504
